be_code,be_description,eo_class_code,eo_class_description,eo_model_name,teh_mesto,gar_no,eo_code,head_type,operation_start_date,expected_operation_period_years,expected_operation_finish_date,sap_planned_finish_operation_date,expected_operation_status_code,expected_operation_status_code_date,sap_system_status,sap_user_status,reported_operation_finish_date,reported_operation_status,qty at 31.12.2022,in 2022,out 2022,qty at 31.12.2023,in 2023,out 2023
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E105,2,100000043607,component,1996-09-01,12.0,2008-09-01 00:00:00,,operation_finished,2022-06-17 11:42:37.208031,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E105,2,100000043631,component,1996-09-01,12.0,2008-09-01 00:00:00,,operation_finished,2022-06-17 11:42:37.212146,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E105,2,100000043654,component,1996-09-01,12.0,2008-09-01 00:00:00,,operation_finished,2022-06-17 11:42:37.216702,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E105,2,100000043710,component,1996-09-01,12.0,2008-09-01 00:00:00,,operation_finished,2022-06-17 11:42:37.220841,ПВЕО,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E105,2,100000043739,component,1996-09-01,12.0,2008-09-01 00:00:00,,operation_finished,2022-06-17 11:42:37.225295,ПВЕО,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E105,УЧАСТОК АГИТО,100000036869,component,2019-05-10,12.0,2031-05-10 00:00:00,,operation,2022-06-17 11:42:43.021328,ПВЕО,,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E105,2,100000043412,component,2008-02-19,12.0,2020-02-19 00:00:00,2021-12-31,operation_finished,2022-06-17 11:42:45.440706,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E105,2,100000043437,component,2008-02-19,12.0,2020-02-19 00:00:00,2021-12-31,operation_finished,2022-06-17 11:42:45.470927,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E105,2,100000043459,component,2008-02-19,12.0,2020-02-19 00:00:00,2021-12-31,operation_finished,2022-06-17 11:42:45.475014,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E105,2,100000043482,component,2008-02-19,12.0,2020-02-19 00:00:00,2021-12-31,operation_finished,2022-06-17 11:42:45.481609,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E105,2,100000043505,component,2008-02-19,12.0,2020-02-19 00:00:00,2021-12-31,operation_finished,2022-06-17 11:42:45.485441,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E105,2,100000043531,component,2008-02-19,12.0,2020-02-19 00:00:00,2021-12-31,operation_finished,2022-06-17 11:42:45.489281,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E105,2,100000043560,component,2008-02-19,12.0,2020-02-19 00:00:00,2021-12-31,operation_finished,2022-06-17 11:42:45.493308,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E105,2,100000043682,component,2008-02-19,12.0,2020-02-19 00:00:00,2021-12-31,operation_finished,2022-06-17 11:42:45.497235,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Экскаваторы ЭКГ-10,11-RUD-BLAG-UGBL-E106,30,100000062738,head,2012-12-31,12.0,2024-12-31 00:00:00,2029-07-01,operation,2022-06-17 11:42:40.138407,УСТН,СИНХ,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E106,30,100000043582,component,2012-12-31,12.0,2024-12-31 00:00:00,,operation,2022-06-17 11:42:40.123882,ПВЕО,КМПН,,,1,0,0,1,0,0
